Year,Month,Reporter,Trade Direction,Trade Partner,HS2 Code,HS2 Description,HS4 Code,HS4 Description,HS6 Code,HS6 Description,Tariff Line Code,Tariff Line Description,USD,Primary Quantity,Unit Price,Primary Units
2019,6,Norway,Import,Chile,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",238.04,100,2.38,KG
2019,9,Norway,Import,Denmark,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",415.98,200,2.08,KG
2013,2,Norway,Import,Germany,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",1895.49,450,4.21,KG
2017,6,Norway,Import,Ireland,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",309.12,200,1.55,KG
2019,3,Norway,Import,Ireland,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",130.94,60,2.18,KG
2013,11,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",245.5,100,2.45,KG
2014,1,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",177.53,110,1.61,KG
2015,6,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",252.79,100,2.53,KG
2017,7,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",1559.04,600,2.6,KG
2017,8,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",650.95,240,2.71,KG
2018,1,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30355,"Jack And Horse Mackerel (Trachurus Spp.), Frozen",3035500,"Frozen Jack And Horse Mackerel ""Trachurus Spp.""",1400.83,480,2.92,KG
