Year,Month,Reporter,Trade Direction,Trade Partner,HS2 Code,HS2 Description,HS4 Code,HS4 Description,HS6 Code,HS6 Description,Tariff Line Code,Tariff Line Description,USD,Primary Quantity,Unit Price,Primary Units
2013,10,Norway,Import,Denmark,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",589475.37,473834,1.24,KG
2019,6,Norway,Import,Denmark,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",4592.89,2440,1.88,KG
2012,11,Norway,Import,Faroe Islands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",98373.56,22500,4.37,KG
2015,11,Norway,Import,Faroe Islands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",1920.62,672,2.86,KG
2015,11,Norway,Import,Greenland,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",349.1,200,1.75,KG
2016,11,Norway,Import,Ireland,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",655.16,300,2.18,KG
2017,6,Norway,Import,Ireland,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",336.9,200,1.68,KG
2017,7,Norway,Import,Ireland,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",457.57,300,1.53,KG
2017,9,Norway,Import,Ireland,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",458.52,200,2.29,KG
2012,5,Norway,Import,Netherlands,3,"Fish And Crustaceans, Molluscs And Other Aquatic Invertebrates",303,"Fish, Frozen, Excluding Fish Fillets And Other Fish Meat Without Bones; Fish Livers And Roes, Frozen",30354,"Mackerel (Scomber Scombrus, Scomber Australasicus, Scomber Japonicus), Frozen",3035401,"Subgroup Of:030354 Frozen Mackerel ""Scomber Scombrus, Scomber Australasicus, Scomber Japonicus""",1606271.07,714380,2.25,KG
